8,0,8,19,4,4,9,30,11,5,10,25,17,10,11,8,13,5,0,2,0,0,2,3,0,0,1,0,0,0,0,0,4,6,7,1,6,2,1,48,2,3,28,16,4,25,21
17,2,6,19,8,9,7,28,10,1,11,24,40,19,12,12,8,0,6,4,0,6,7,4,7,0,18,5,0,0,2,0,10,12,8,0,5,4,0,72,2,0,37,13,3,33,21
16,3,6,15,9,5,9,22,6,4,26,20,30,27,30,2,8,5,4,2,2,9,3,15,1,1,22,1,0,0,2,2,3,10,7,1,3,10,2,136,4,5,45,16,2,28,24
17,3,4,15,8,2,9,19,11,6,24,17,22,26,30,9,13,2,1,8,0,9,9,6,7,0,31,1,1,1,12,3,6,7,6,0,3,6,4,113,6,1,45,18,5,17,6
12,3,3,15,3,1,18,30,5,14,15,8,24,28,23,5,13,1,3,2,4,15,7,9,0,1,27,1,0,0,3,11,16,18,0,0,6,6,12,122,1,1,57,36,1,16,16
11,1,0,22,4,1,3,22,14,7,17,10,22,25,15,8,15,0,1,0,4,21,7,9,5,1,29,5,0,0,2,14,4,20,1,1,0,1,5,132,5,8,24,24,0,13,13
3,1,2,8,2,1,3,24,8,21,15,3,14,29,15,7,34,1,0,1,7,16,4,9,6,4,24,8,0,1,9,11,6,9,6,0,4,2,2,127,4,1,21,32,0,12,23
12,2,4,7,1,2,6,21,3,13,13,3,14,20,25,9,20,2,0,4,4,16,7,8,7,3,31,12,2,1,3,31,5,13,1,0,0,1,9,180,8,11,10,18,1,12,14
12,1,2,5,0,1,9,28,6,11,16,6,24,16,27,2,29,0,0,6,3,11,11,9,9,5,39,9,2,2,5,21,5,8,0,0,1,1,6,164,1,2,12,16,4,6,25
3,3,1,9,0,2,7,16,9,11,13,3,19,17,56,2,26,0,1,3,7,23,21,9,12,1,27,4,1,2,4,22,6,14,2,0,0,0,3,165,4,3,12,26,0,3,57
2,4,2,13,0,1,3,9,8,7,15,9,21,14,57,15,21,0,0,4,7,30,14,8,12,5,32,2,1,1,8,35,11,12,2,0,2,1,0,167,8,6,7,9,0,5,39
3,4,1,7,3,4,6,9,4,4,18,6,25,20,37,11,6,0,1,2,12,16,6,6,6,7,32,5,1,0,1,25,2,19,0,0,0,0,0,130,3,10,16,8,5,11,46
1,0,0,6,3,9,6,10,2,3,15,41,19,10,39,8,8,0,0,7,9,8,17,4,8,7,27,5,0,0,0,18,9,13,7,0,1,1,1,124,10,12,5,8,3,7,46
7,1,0,5,0,14,2,6,3,7,18,0,18,15,50,4,6,2,1,5,9,21,20,2,9,1,20,3,3,1,3,41,4,10,3,0,7,1,0,122,10,19,29,8,4,5,71
11,0,1,2,1,24,4,7,2,5,32,2,29,12,35,5,5,0,8,5,4,24,13,7,9,0,35,5,5,0,9,58,2,19,3,0,1,1,0,228,24,12,25,12,2,12,168
10,1,0,1,0,8,2,6,5,3,34,5,33,9,43,5,8,0,1,0,3,26,15,10,7,1,60,8,10,1,9,83,2,36,3,0,2,6,0,260,15,23,19,9,1,6,158
2,0,1,3,0,5,4,15,6,6,57,4,36,17,34,13,4,3,2,1,6,20,20,6,17,3,72,16,5,0,11,83,2,37,9,0,4,2,0,310,33,19,43,17,4,12,178
1,8,3,7,0,4,5,13,7,1,42,8,21,7,44,13,3,2,4,1,2,21,21,17,6,3,54,15,2,1,7,79,2,48,10,2,1,0,3,272,27,11,37,7,1,20,132
6,7,0,12,1,13,3,8,11,7,52,19,33,21,44,21,6,0,11,2,2,34,32,23,12,12,59,16,7,0,14,75,2,42,19,1,3,2,3,304,28,16,54,8,4,13,134
5,5,0,9,0,8,4,9,19,6,63,24,86,26,31,19,4,10,14,6,4,14,45,30,22,23,101,24,7,2,14,98,14,66,20,7,6,4,2,328,46,39,98,32,12,41,121
7,7,0,11,0,8,2,21,27,8,83,27,118,78,49,41,9,8,16,5,12,40,39,66,17,25,129,32,23,1,31,56,17,80,35,1,10,10,4,440,55,41,119,42,12,42,99
4,20,2,13,5,3,3,12,16,9,155,36,123,73,49,43,19,14,24,3,18,28,47,78,19,38,141,53,32,4,28,43,53,101,52,0,5,10,2,375,76,54,130,53,17,44,89
9,7,1,3,2,4,11,21,32,14,176,45,168,104,44,50,21,14,30,7,23,38,68,132,43,38,240,71,41,4,47,56,58,133,84,1,24,5,13,546,147,80,184,87,36,93,60
11,12,1,13,4,10,13,41,49,10,214,102,260,186,80,70,21,17,31,14,35,78,99,158,35,27,270,115,45,7,77,66,64,192,119,4,25,13,8,619,183,133,257,173,62,114,44
5,30,3,39,2,16,18,81,74,27,413,241,536,361,113,78,19,28,63,21,54,121,141,176,49,64,370,165,47,18,108,75,84,332,268,12,20,21,5,847,224,207,403,304,102,164,40
10,27,3,35,5,22,20,172,99,38,790,404,1044,585,166,117,15,33,70,28,51,243,327,292,49,148,682,253,82,26,200,96,176,546,452,16,47,39,28,1193,283,371,537,440,145,201,31
21,41,4,49,2,36,26,244,143,75,1229,618,1575,910,238,160,27,49,145,57,75,365,521,284,62,208,891,469,152,55,255,122,209,728,609,58,61,73,73,1334,268,518,592,619,233,353,42
31,90,13,75,2,51,50,508,261,178,2127,1089,2841,1545,448,191,71,95,215,85,137,675,1002,471,107,256,1418,675,195,95,236,106,334,800,806,96,155,121,160,1192,245,597,615,717,255,448,47
61,69,27,125,17,108,93,651,381,263,2972,1536,3593,2065,491,221,95,126,288,152,187,835,1498,439,144,221,1589,882,194,138,190,96,414,822,590,113,263,158,170,1008,159,409,426,455,220,449,52
88,127,87,202,53,138,158,647,497,357,2929,1446,4126,2332,795,177,199,164,313,251,216,960,1926,566,214,293,1562,1250,187,147,160,147,466,703,428,142,419,269,212,667,92,346,279,321,252,391,72
186,125,162,324,47,176,284,706,420,442,2710,1518,3648,2273,1113,213,172,188,384,489,279,1069,2009,517,216,385,1403,1149,164,196,116,164,415,515,255,132,320,284,245,476,95,244,161,210,220,303,65
267,223,210,358,112,241,378,520,444,442,2066,1182,2844,1543,1283,167,221,256,430,755,375,979,1753,472,231,323,1156,1017,200,199,122,193,292,372,235,83,267,324,232,330,62,190,125,138,253,351,64
420,221,283,278,182,127,452,436,305,271,923,688,1268,782,871,116,197,164,209,471,225,675,1028,333,175,221,717,687,126,170,84,127,218,220,129,118,213,241,195,204,40,117,80,83,155,289,40
762,237,245,337,147,157,270,249,193,261,835,682,1122,886,634,98,146,112,180,488,157,571,766,233,137,228,497,509,85,106,74,80,124,194,82,60,86,232,135,174,22,72,51,68,147,216,22
1177,251,282,321,242,217,254,202,201,269,737,521,943,712,745,110,176,134,139,585,208,555,685,239,183,361,519,384,96,98,44,108,136,147,71,71,70,210,173,137,10,68,57,67,163,194,25
1480,244,259,324,262,152,247,185,152,216,595,485,732,602,667,139,165,121,91,475,218,488,574,226,201,312,433,338,88,90,47,104,139,87,64,83,66,187,152,170,15,80,63,59,121,171,37
1820,237,232,353,245,200,235,123,212,243,558,495,738,467,641,139,153,113,106,433,199,459,660,260,183,378,401,311,63,91,46,84,122,87,45,94,72,155,202,147,28,86,60,48,107,208,23
1264,141,214,291,174,141,173,101,146,182,419,351,553,402,563,138,112,75,55,257,155,351,507,230,143,242,292,196,41,76,46,62,79,67,29,54,36,95,160,112,18,67,55,42,90,144,23
717,83,130,218,94,107,116,76,75,112,224,236,325,241,304,86,58,63,49,186,120,207,345,150,111,134,218,149,32,33,29,34,66,39,18,43,25,105,80,90,21,55,38,20,81,135,21
709,72,124,188,50,103,88,53,97,113,252,248,350,222,180,76,72,54,42,142,73,147,274,98,99,127,173,116,31,39,27,25,72,36,30,46,17,72,66,94,28,60,52,37,84,203,15
562,41,87,210,50,100,101,52,60,99,263,251,384,246,225,92,36,48,35,142,58,142,200,99,81,111,196,102,28,22,30,25,65,30,37,52,30,65,61,131,37,85,42,23,101,272,14
448,47,56,145,36,80,88,37,36,69,174,214,296,178,128,75,27,49,14,73,58,118,166,111,48,97,143,94,13,9,47,19,51,19,25,32,12,69,69,133,46,65,32,8,65,232,20
358,23,26,107,30,61,65,38,22,27,174,163,196,127,89,79,36,61,15,68,37,99,113,96,43,83,112,79,16,3,32,31,35,24,24,21,13,36,46,124,64,76,41,19,86,213,23
289,30,33,101,28,27,64,40,15,53,128,143,212,151,69,59,30,61,9,59,46,94,132,63,41,84,92,88,13,9,50,49,31,22,47,36,8,38,48,144,98,88,32,41,105,272,26
178,7,36,95,17,24,50,26,12,31,106,89,125,102,52,38,17,36,9,41,47,50,107,57,24,56,77,66,8,7,39,17,14,29,21,36,6,21,38,125,64,77,40,28,101,220,29
135,10,15,64,6,23,29,22,8,25,67,81,95,90,36,35,19,25,4,32,27,49,68,48,23,28,73,66,3,18,45,21,22,20,24,15,3,26,26,135,69,73,53,15,106,244,25
104,7,10,51,9,8,30,12,4,12,63,59,64,78,21,26,17,39,5,19,51,53,60,55,29,40,66,55,17,20,27,31,18,11,32,27,6,17,19,130,61,61,57,23,168,202,19
87,10,3,52,8,11,32,14,3,18,55,33,65,62,29,20,16,36,2,17,28,29,51,33,19,36,50,62,8,26,21,22,7,10,38,17,5,10,15,182,68,63,59,17,142,249,16
82,5,7,28,2,3,8,13,3,9,42,27,61,52,9,6,8,26,5,11,23,19,42,30,20,29,52,43,4,27,26,5,8,12,24,24,6,9,6,165,51,51,61,23,110,195,16
57,2,12,14,4,5,4,7,4,7,19,11,56,48,8,12,8,24,1,13,28,18,32,5,20,36,46,29,3,17,30,12,8,13,21,26,2,9,14,146,51,56,50,27,124,153,14
45,1,12,12,2,1,9,15,1,5,31,15,41,23,11,7,4,17,0,14,19,15,31,5,32,21,35,25,5,23,24,5,4,10,19,24,8,19,3,141,73,57,38,9,65,135,18
30,1,5,5,0,1,7,10,2,3,9,8,31,35,7,5,9,18,0,9,13,11,19,3,12,19,29,10,3,8,13,2,6,6,7,6,3,11,3,106,24,35,67,7,60,71,8
2,0,2,0,0,0,1,2,0,0,3,4,2,5,2,1,2,6,0,1,7,2,9,0,1,8,4,2,0,2,1,2,3,7,3,4,2,2,0,39,4,10,19,8,13,44,10
